"annee","jours_glissants","code_station","VCNx_annuel_spe"
"2014",10,"E490571001",0.537238493723849
"2015",10,"E490571001",0.364016736401674
"2016",10,"E490571001",0.133891213389121
"2017",10,"E490571001",0.214644351464435
"2018",10,"E490571001",0.189539748953975
"2019",10,"E490571001",0.164016736401674
"2020",10,"E490571001",0.0728033472803347
"2021",10,"E490571001",0.148535564853556
"2022",10,"E490571001",0.0418410041841004
"2023",10,"E490571001",0.0782426778242678
"2000",10,"E490571101",1.23636363636364
"2001",10,"E490571101",1.40606060606061
"2002",10,"E490571101",0.733333333333333
"2003",10,"E490571101",0.181818181818182
"2004",10,"E490571101",0.203030303030303
"2005",10,"E490571101",0.306060606060606
"2006",10,"E490571101",0
"2007",10,"E490571101",1.73636363636364
"2008",10,"E490571101",0.354545454545455
"2009",10,"E490571101",0.178787878787879
"2010",10,"E490571101",0.409090909090909
"2011",10,"E490571101",0
"2012",10,"E490571101",2.06060606060606
"2013",10,"E490571101",0
"2014",10,"E490571101",0.339393939393939
"2015",10,"E490571101",0.0484848484848485
"2016",10,"E490571101",0
"2017",10,"E490571101",0
"2018",10,"E490571101",0
"2019",10,"E490571101",0.00909090909090909
"2020",10,"E490571101",0.0636363636363636
"2021",10,"E490571101",0.00909090909090909
"2022",10,"E490571101",0
"2023",10,"E490571101",0
"2024",10,"E490571101",0.0181818181818182
"2000",10,"E490700501",0.761818181818182
"2001",10,"E490700501",1.32181818181818
"2002",10,"E490700501",1.09090909090909
"2003",10,"E490700501",0.94
"2004",10,"E490700501",0.152727272727273
"2005",10,"E490700501",0.854545454545455
"2006",10,"E490700501",0.185454545454545
"2007",10,"E490700501",0.601818181818182
"2008",10,"E490700501",0.361818181818182
"2009",10,"E490700501",0.163636363636364
"2010",10,"E490700501",0.450909090909091
"2011",10,"E490700501",0.229090909090909
"2012",10,"E490700501",0.169090909090909
"2013",10,"E490700501",0.158181818181818
"2014",10,"E490700501",0.476363636363636
"2015",10,"E490700501",0.22
"2016",10,"E490700501",0.225454545454545
"2017",10,"E490700501",0.218181818181818
"2018",10,"E490700501",0.230909090909091
"2019",10,"E490700501",0.218181818181818
"2020",10,"E490700501",0.0763636363636364
"2021",10,"E490700501",0.294545454545455
"2022",10,"E490700501",0.0927272727272727
"2023",10,"E490700501",0.0927272727272727
"2024",10,"E490700501",0.150909090909091
"2000",10,"D020602001",3.92898550724638
"2001",10,"D020602001",4.15507246376812
"2002",10,"D020602001",3.41739130434783
"2003",10,"D020602001",2.65652173913043
"2004",10,"D020602001",3.36231884057971
"2005",10,"D020602001",2.22608695652174
"2006",10,"D020602001",2.56231884057971
"2007",10,"D020602001",4.75942028985507
"2008",10,"D020602001",4.42173913043478
"2009",10,"D020602001",3.99565217391304
"2010",10,"D020602001",3.46086956521739
"2011",10,"D020602001",3.4
"2012",10,"D020602001",3.97246376811594
"2013",10,"D020602001",3.85217391304348
"2014",10,"D020602001",4.07826086956522
"2015",10,"D020602001",3.73333333333333
"2016",10,"D020602001",4.08695652173913
"2017",10,"D020602001",2.66376811594203
"2018",10,"D020602001",2.80579710144928
"2019",10,"D020602001",2.4463768115942
"2020",10,"D020602001",2.32173913043478
"2021",10,"D020602001",3.53623188405797
"2022",10,"D020602001",1.73623188405797
"2023",10,"D020602001",2.18840579710145
"2024",10,"D020602001",3.56666666666667
"2000",10,"E236741001",0.403846153846154
"2001",10,"E236741001",0.284615384615385
"2002",10,"E236741001",0.351923076923077
"2003",10,"E236741001",0.315384615384615
"2004",10,"E236741001",0.161538461538462
"2005",10,"E236741001",0.273076923076923
"2006",10,"E236741001",0.680769230769231
"2007",10,"E236741001",0.615384615384615
"2008",10,"E236741001",0.615384615384615
"2009",10,"E236741001",0.538461538461538
"2010",10,"E236741001",0.434615384615385
"2011",10,"E236741001",0.663461538461538
"2012",10,"E236741001",0.638461538461539
"2013",10,"E236741001",0.921153846153846
"2014",10,"E236741001",0.190384615384615
"2015",10,"E236741001",0.207692307692308
"2016",10,"E236741001",0.240384615384615
"2017",10,"E236741001",0.265384615384615
"2018",10,"E236741001",0.307692307692308
"2019",10,"E236741001",0.271153846153846
"2020",10,"E236741001",0.226923076923077
"2021",10,"E236741001",0.269230769230769
"2022",10,"E236741001",0.244230769230769
"2023",10,"E236741001",0.153846153846154
"2024",10,"E236741001",0.451923076923077
"2000",10,"E237601001",1.61363636363636
"2001",10,"E237601001",1.30454545454545
"2002",10,"E237601001",1.71969696969697
"2003",10,"E237601001",1.11666666666667
"2004",10,"E237601001",0.872727272727273
"2005",10,"E237601001",1.42878787878788
"2006",10,"E237601001",2.2
"2007",10,"E237601001",2.41060606060606
"2008",10,"E237601001",0.845454545454545
"2009",10,"E237601001",0.353030303030303
"2010",10,"E237601001",1.40606060606061
"2017",10,"E237601001",0.696969696969697
"2018",10,"E237601001",0.690909090909091
"2019",10,"E237601001",0.721212121212121
"2020",10,"E237601001",0.00151515151515152
"2021",10,"E237601001",0.577272727272727
"2022",10,"E237601001",0.131818181818182
"2023",10,"E237601001",0.865151515151515
"2024",10,"E237601001",1.22575757575758
"2000",10,"E131000202",NA
"2001",10,"E131000202",NA
"2002",10,"E131000202",NA
"2003",10,"E131000202",NA
"2004",10,"E131000202",NA
"2005",10,"E131000202",NA
"2006",10,"E131000202",NA
"2007",10,"E131000202",NA
"2008",10,"E131000202",NA
"2009",10,"E131000202",NA
"2010",10,"E131000202",NA
"2011",10,"E131000202",NA
"2012",10,"E131000202",NA
"2013",10,"E131000202",NA
"2014",10,"E131000202",NA
"2015",10,"E131000202",NA
"2016",10,"E131000202",NA
"2017",10,"E131000202",NA
"2018",10,"E131000202",NA
"2019",10,"E131000202",NA
"2020",10,"E131000202",NA
"2021",10,"E131000202",NA
"2022",10,"E131000202",NA
"2023",10,"E131000202",NA
"2024",10,"E131000202",NA
"2003",10,"E182702602",2.43125719401458
"2004",10,"E182702602",1.78923135950889
"2005",10,"E182702602",1.73423711472055
"2006",10,"E182702602",1.61529607366671
"2007",10,"E182702602",1.34671952935158
"2008",10,"E182702602",1.62041181736795
"2009",10,"E182702602",1.95165622202328
"2010",10,"E182702602",1.12546361427293
"2011",10,"E182702602",1.39404015858805
"2012",10,"E182702602",1.09604808799079
"2013",10,"E182702602",1.18429466683719
"2014",10,"E182702602",1.80713646246323
"2015",10,"E182702602",1.9925821716332
"2016",10,"E182702602",2.33022125591508
"2017",10,"E182702602",1.14081084537665
"2018",10,"E182702602",0.932344289551094
"2019",10,"E182702602",0.496227139020335
"2020",10,"E182702602",0.870955365136207
"2021",10,"E182702602",1.66133776697787
"2022",10,"E182702602",0.666325617086584
"2023",10,"E182702602",0.700856887069958
"2024",10,"E182702602",2.47729888732575
"2004",10,"E367125002",0.775978326309452
"2005",10,"E367125002",1.8530403371463
"2006",10,"E367125002",2.03413606261288
"2007",10,"E367125002",3.90288982540638
"2008",10,"E367125002",3.16026490066225
"2009",10,"E367125002",1.97880794701987
"2010",10,"E367125002",2.73263094521373
"2011",10,"E367125002",2.85147501505117
"2012",10,"E367125002",0
"2013",10,"E367125002",2.00674292594822
"2014",10,"E367125002",2.75141481035521
"2015",10,"E367125002",2.10523780854907
"2016",10,"E367125002",2.27134256472005
"2017",10,"E367125002",1.19139072847682
"2018",10,"E367125002",1.63317278747742
"2019",10,"E367125002",0.92787477423239
"2020",10,"E367125002",1.96387718242023
"2021",10,"E367125002",2.41956652618904
"2022",10,"E367125002",0.75948223961469
"2024",10,"E367125002",2.95550872968092
"2004",10,"E237110501",1.53430034129693
"2005",10,"E237110501",2.47320819112628
"2006",10,"E237110501",2.02542662116041
"2007",10,"E237110501",3.55563139931741
"2008",10,"E237110501",3.34095563139932
"2009",10,"E237110501",2.4518771331058
"2010",10,"E237110501",2.7438566552901
"2011",10,"E237110501",2.59453924914676
"2012",10,"E237110501",4.66945392491468
"2013",10,"E237110501",2.53310580204778
"2014",10,"E237110501",5.88310580204778
"2016",10,"E237110501",8.20534698521047
"2017",10,"E237110501",4.58310580204778
"2018",10,"E237110501",18.4752559726962
"2019",10,"E237110501",1.59117503656753
"2020",10,"E237110501",6.54470989761092
"2021",10,"E237110501",3.23549488054608
"2022",10,"E237110501",0.915813424345847
"2023",10,"E237110501",0.203071672354949
"2024",10,"E237110501",2.31968145620023
"2004",10,"E240041101",2.83039765796536
"2005",10,"E240041101",4.02537204196145
"2008",10,"E240041101",4.24781654061966
"2009",10,"E240041101",4.25190813090301
"2010",10,"E240041101",4.90363503293486
"2011",10,"E240041101",0.859687031680201
"2012",10,"E240041101",5.09897535984386
"2013",10,"E240041101",6.06245425713589
"2014",10,"E240041101",2.9461088070261
"2015",10,"E240041101",3.58780190290315
"2016",10,"E240041101",2.93093437423762
"2017",10,"E240041101",1.6561844352281
"2018",10,"E240041101",2.16247865333008
"2019",10,"E240041101",1.63291046596731
"2020",10,"E240041101",2.54471822395706
"2021",10,"E240041101",3.66833373993657
"2022",10,"E240041101",1.34928031227129
"2023",10,"E240041101",1.57328616735789
"2024",10,"E240041101",4.34296169797512
"2005",10,"D019223001",1.49076923076923
"2006",10,"D019223001",1.92521367521368
"2007",10,"D019223001",2.31555555555556
"2008",10,"D019223001",2.50299145299145
"2009",10,"D019223001",1.79418803418803
"2010",10,"D019223001",2.02282051282051
"2011",10,"D019223001",1.82769230769231
"2012",10,"D019223001",2.78846153846154
"2013",10,"D019223001",3.12982905982906
"2014",10,"D019223001",3.4017094017094
"2015",10,"D019223001",4.02763532763533
"2016",10,"D019223001",2.64521367521367
"2017",10,"D019223001",0.834401709401709
"2018",10,"D019223001",0.504178537511871
"2019",10,"D019223001",0.838717948717949
"2020",10,"D019223001",0.826410256410256
"2021",10,"D019223001",1.80104463437797
"2022",10,"D019223001",0.501282051282051
"2023",10,"D019223001",0.683333333333333
"2024",10,"D019223001",1.43390313390313
"2005",10,"E381126501",2.13669243511872
"2006",10,"E381126501",2.32070679182772
"2010",10,"E381126501",6.90226394257316
"2011",10,"E381126501",0.04527885146328
"2012",10,"E381126501",4.38216454997239
"2014",10,"E381126501",3.85085588072888
"2015",10,"E381126501",2.67796797349531
"2016",10,"E381126501",3.28036996134732
"2017",10,"E381126501",1.5662617338487
"2018",10,"E381126501",1.96018774157924
"2019",10,"E381126501",1.28467697404749
"2020",10,"E381126501",1.72305356156819
"2021",10,"E381126501",3.16902263942573
"2022",10,"E381126501",1.33348978464936
"2023",10,"E381126501",0.66882937603534
"2024",10,"E381126501",0.93904534020492
"2005",10,"E341210001",2.06137366099559
"2006",10,"E341210001",2.63371140516698
"2007",10,"E341210001",4.14858223062382
"2008",10,"E341210001",4.89218651543793
"2009",10,"E341210001",2.35393824826717
"2010",10,"E341210001",0.601344255408528
"2011",10,"E341210001",3.72463768115942
"2012",10,"E341210001",1.89287964713296
"2016",10,"E341210001",3.29363579080025
"2017",10,"E341210001",0.771644612476371
"2018",10,"E341210001",2.46282293635791
"2019",10,"E341210001",2.09262759924386
"2020",10,"E341210001",2.98424700693132
"2021",10,"E341210001",4.27095148078135
"2022",10,"E341210001",0.488342785129175
"2023",10,"E341210001",0.892669607225373
"2024",10,"E341210001",4.74725897920605
"2005",10,"E182701002",1.11978021978022
"2006",10,"E182701002",1.35054945054945
"2007",10,"E182701002",1.61868131868132
"2008",10,"E182701002",1.35164835164835
"2009",10,"E182701002",1.23516483516483
"2010",10,"E182701002",1.99230769230769
"2011",10,"E182701002",1.58791208791209
"2012",10,"E182701002",1.52857142857143
"2013",10,"E182701002",1.44065934065934
"2014",10,"E182701002",2.38571428571429
"2015",10,"E182701002",1.44615384615385
"2016",10,"E182701002",2.38351648351648
"2017",10,"E182701002",1.06043956043956
"2018",10,"E182701002",1.0043956043956
"2019",10,"E182701002",0.948351648351649
"2020",10,"E182701002",1.05054945054945
"2021",10,"E182701002",2.56593406593407
"2022",10,"E182701002",1.28571428571429
"2023",10,"E182701002",1.62307692307692
"2024",10,"E182701002",3.77362637362637
"2007",10,"D015656001",1.841796875
"2008",10,"D015656001",1.439453125
"2009",10,"D015656001",0.59765625
"2010",10,"D015656001",1.40546875
"2011",10,"D015656001",1.860546875
"2012",10,"D015656001",2.039453125
"2013",10,"D015656001",1.76875
"2014",10,"D015656001",1.848828125
"2015",10,"D015656001",1.6671875
"2016",10,"D015656001",1.552734375
"2017",10,"D015656001",1.242578125
"2018",10,"D015656001",1.184375
"2019",10,"D015656001",1.189453125
"2020",10,"D015656001",1.0921875
"2021",10,"D015656001",1.307421875
"2022",10,"D015656001",1.144140625
"2023",10,"D015656001",1.24921875
"2024",10,"D015656001",1.53359375
"2009",10,"E490941401",NA
"2010",10,"E490941401",NA
"2011",10,"E490941401",NA
"2012",10,"E490941401",NA
"2013",10,"E490941401",NA
"2014",10,"E490941401",NA
"2015",10,"E490941401",NA
"2016",10,"E490941401",NA
"2017",10,"E490941401",NA
"2018",10,"E490941401",NA
"2019",10,"E490941401",NA
"2020",10,"E490941401",NA
"2021",10,"E490941401",NA
"2022",10,"E490941401",NA
"2023",10,"E490941401",NA
"2024",10,"E490941401",NA
"2011",10,"E400000101",NA
"2012",10,"E400000101",NA
"2013",10,"E400000101",NA
"2014",10,"E400000101",NA
"2015",10,"E400000101",NA
"2016",10,"E400000101",NA
"2017",10,"E400000101",NA
"2018",10,"E400000101",NA
"2019",10,"E400000101",NA
"2020",10,"E400000101",NA
"2023",10,"E400000101",NA
"2024",10,"E400000101",NA
"2014",10,"D015850401",NA
"2015",10,"D015850401",NA
"2016",10,"D015850401",NA
"2017",10,"D015850401",NA
"2018",10,"D015850401",NA
"2019",10,"D015850401",NA
"2020",10,"D015850401",NA
"2021",10,"D015850401",NA
"2022",10,"D015850401",NA
"2023",10,"D015850401",NA
"2024",10,"D015850401",NA
"2014",10,"D015850501",0.327343888987725
"2015",10,"D015850501",0.23839174524106
"2016",10,"D015850501",0.24372887386586
"2017",10,"D015850501",0.252624088240527
"2018",10,"D015850501",0.236612702366127
"2019",10,"D015850501",0.343355274862124
"2020",10,"D015850501",0.291763031489059
"2021",10,"D015850501",0.359366660736524
"2022",10,"D015850501",0.241949830990927
"2023",10,"D015850501",0.199252801992528
"2024",10,"D015850501",0.74719800747198
